1,31,Lukasz ,Jakubowski ,81050191818,472-23-5710, ³ukasz.jakubowski@wp.pl,1000-lecia ,35,5901672683137777
2,92,Fryderyk ,Kowalski ,80102765975,576-02-3568, fryderyk.kowalski@gmail.com,Maja ,26,4922491106535097
3,101,Milan ,Duda ,56021724656,077-54-5821, milan.duda@gmail.com ,800-lecia ,43,4354462475549974
4,11,Maksymilian ,Sawicki ,85022144956,759-07-2554, maksymilian.sawicki@wp.pl ,Adama Asnyka ,36,5169799874256715
5,17,Jozef ,Kolodziej ,81101887534,503-21-6562, józef.ko³odziej@gmail.com ,Adama Didura ,26,4754715072674180
6,9,Edward ,Szymañski ,94090472733,321-18-5668, edward.szymañski@gmail.com ,Adama Fastnachta ,13,5979401193988561
7,65,Dominik ,Kowalczyk ,85052296915,863-86-1126, dominik.kowalczyk@gmail.com ,Adama Krzy¿anowskiego ,11,5743657591656861
8,47,Ernest ,Kubiak ,67061922757,826-25-7813, ernest.kubiak@o2.pl ,Akacjowa ,87,4353500092615495
9,75,Dobromil ,Urbanski ,69110664999,574-78-2259, dobromi³.urbañski@gmail.com ,Aleja gen. Bronis³awa Prugara-Ketlinga ,34,5353559021898546
10,58,Aureliusz ,Kowalczyk ,57040486914,387-66-4776, aureliusz.kowalczyk@gmail.com ,Aleja Szwajcarii ,17,4376326032142512
11,29,Dawid ,Szymczak ,83062869956,346-06-1752, dawid.szymczak@gmail.com ,Aleja Wojska Polskiego ,34,5020798181070412
12,67,Kuba ,Maciejewski ,68011736493,789-15-8483, kuba.maciejewski@wp.pl ,Aleksandra Fredry ,52,4615734105425154
13,43,Mariusz ,Kolodziej ,56071132155,061-72-8105, mariusz.ko³odziej@gmail.com ,Aleksandra Mniszek-Tchorznickiego ,68,4379293137521700
14,95,Klaudiusz ,Sokolowski ,83042382675,493-09-0275, klaudiusz.soko³owski@o2.pl ,Aleksandra Rybickiego ,44,4608774611643386
15,11,Dominik ,Witkowski ,86032056914,823-74-8587, dominik.witkowski@gmail.com ,Andrzeja Struga ,84,5356253512367370
16,16,Czeslaw ,Szymanski ,99011595698,175-35-8179, czes³aw.szymañski@wp.pl ,Armii Krajowej ,25,5459382894658548
17,63,Emanuel ,Gorecki ,89012424415,537-83-6854, emanuel.górecki@gmail.com ,Berka Joselewicza ,63,4937752883382059
18,83,Hubert ,Urbanski ,84020517854,027-40-1350, hubert.urbañski@gmail.com ,Bliska ,42,5778768777689804
19,42,Ernest ,Wojcik ,77082198994,518-05-3960, ernest.wójcik@gmail.com ,Bluszczowa ,72,5885589910414540
20,26,Aleks ,Jakubowski ,77122147254,362-04-5731, aleks.jakubowski@wp.pl ,Blonie ,31,4574462391155983
21,67,Miron ,Borkowski ,74090259398,824-56-4790, miron.borkowski@gmail.com ,Boczna ,54,4520988967091678
22,13,Allan ,Dabrowski ,92011383492,058-86-4150, allan.d¹browski@gmail.com ,Boleslawa Lesmiana ,22,5783986702983224
23,79,Mateusz ,Czerwinski ,74122472593,448-64-3227, mateusz.czerwiñski@o2.pl ,Boleslawa Prusa ,4,5806367304922626
24,38,Fryderyk ,Kalinowski ,99090619533,456-81-3283, fryderyk.kalinowski@gmail.com ,Bracka ,52,4726455486484075
25,97,Jozef ,Laskowski ,64022787118,548-42-4849, józef.laskowska@gmail.com ,Brzozowa ,1,5402678408130934
26,54,Leonardo ,Sadowski ,73072476639,742-50-7920, leonardo.sadowski@o2.pl ,Cegielniana ,74,4813682925482196
27,18,Cezary ,Sadowski ,92021529358,642-32-3742, cezary.sadowski@gmail.com ,Ceramiczna ,44,5102174198063264
28,74,Blazej ,Bak ,58121411557,775-61-8003, b³a¿ej.b¹k@gmail.com ,Cerkiewna ,2,4301717484606261
29,88,Natan ,Sawicki ,73022261854,904-26-5967, natan.sawicki@gmail.com ,Chabrow ,7,5111803362735559
30,92,Aleksander ,Chmielewski ,68082495617,343-58-6961, aleksander.chmielewski@o2.pl ,Chrobrego ,3,4405628228598604
31,100,Leszek ,Ostrowski ,88111087392,789-34-1251, leszek.ostrowski@o2.pl ,Cicha ,4,4624149318507087
32,45,Miroslaw ,Sobczak ,81080394474,516-03-2539, miros³aw.sobczak@wp.pl ,Ciepla ,5,4206188113502204
33,70,Ireneusz ,Baranowski ,98072399894,328-68-7373, ireneusz.baranowski@gmail.com ,Cmentarna ,7,5992684517099032
34,47,Ignacy ,Wozniak ,60031941378,912-95-7073, ignacy.woŸniak@gmail.com ,Cypriana Kamila Norwida ,43,5944356449709587
35,59,Kewin ,Sobczak ,59011644259,393-99-7250, kewin.sobczak@o2.pl ,Czeslawa Milosza ,15,5299546578014079
36,67,Borys ,Jaworski ,65121261112,933-80-1539, borys.jaworski@gmail.com ,Czysta ,33,4083370550028202
37,67,Bronislaw ,Lis ,54041968494,790-09-6894, bronis³aw.lis@o2.pl ,Daszynskiego ,75,4472966466525287
38,93,Juliusz ,Piotrowski ,63010885537,270-67-0396, juliusz.piotrowski@gmail.com ,Dabrowiecka ,47,5112542022728906
39,80,Ireneusz ,Kazmierczak ,72040436318,157-44-8691, ireneusz.kaŸmierczak@o2.pl ,Deszczowa ,35,5354668078010340
40,40,Henryk  ,Jakubowski  ,69012262895,895-99-5584, henryk.jakubowski @gmail.com ,dr.Jordana ,17,5052875912871077
41,25,Boguslawa ,Maciejewska ,78112686867,077-14-4184, bogus³awa.maciejewska@gmail.com ,dr.Karola Zaleskiego ,38,4502560009631357
42,6,Kinga ,Andrzejewska ,80030816581,254-09-8867, kinga.andrzejewska@gmail.com ,dr.Kazimierza Niedzielskiego ,78,4872910182105962
43,69,Konstancja ,Kazmierczak ,64122875984,269-85-9317, konstancja.kaŸmierczak@gmail.com ,dr.Zigmunda  ,77,4317531618032050
44,33,Blanka ,Gorecka ,54033139121,176-88-1309, blanka.górecka@gmail.com ,Dworcowa ,42,4722214422168431
45,94,Bogna ,Lewandowska ,96111949482,812-32-2108, bogna.lewandowska@gmail.com ,Dworska ,68,5099650763162339
46,41,Maria ,Czarnecka ,69112592225,015-00-1943, maria.czarnecka@wp.pl ,Dzialkowa ,33,5056124820044774
47,94,Nikola ,Wozniak ,88030292523,344-03-3163, nikola.woŸniak@gmail.com ,Edwarda Dembowskiego ,73,4285685548885751
48,37,Regina ,Zakrzewska ,81021372844,322-56-4875, regina.zakrzewska@o2.pl ,Elizy Orzeszkowej ,58,4808627606668792
49,91,Matylda ,Rutkowska ,76090852885,759-25-0454, matylda.rutkowska@gmail.com ,Emilii Plater ,36,4173385698259932
50,43,Aleksandra ,Kalinowska ,83061547743,282-79-5001, aleksandra.kalinowska@gmail.com ,Feliksa Gieli ,27,4304761708201944
51,93,Judyta ,Wojcik ,64031359962,157-40-3890, judyta.wójcik@gmail.com ,Franciszka Prochaski ,85,5171428755108474
52,24,Bogna ,Sikora ,62052784688,679-50-5551, bogna.sikora@wp.pl ,Franciszka Stefczyka ,17,5937378196618257
53,61,Honorata ,Szulc ,97050618589,339-50-8018, honorata.szulc@gmail.com ,Franciszkanska ,33,5945483536480663
54,97,Agata ,Szulc ,73122673324,507-34-8637, agata.szulc@gmail.com ,Gabrieli Zapolskiej ,98,5208407279474577
55,44,Kinga ,Cieslak ,94101247462,635-69-6251, kinga.cieœlak@gmail.com ,Gajowa ,23,5670427151586180
56,76,Bogumila ,Laskowska ,66011488822,547-50-8309, bogumi³a.laskowska@gmail.com ,Galczyñskiego ,66,5536971885707822
57,47,Adela ,Zalewska ,58021058142,252-08-6859, adela.zalewska@gmail.com ,gen.Jozefa Bema ,4,5269665768848041
58,90,Nina ,Zakrzewska ,94022757369,269-73-9454, nina.zakrzewska@gmail.com ,gen.Leopolda Okulickiego ,26,4294514883734227
59,59,Andzelika,Wisniewska ,89081759425,900-65-0591, and¿elika.wiœniewska@gmail.com ,gen.Wladyslawa Sikorskiego ,55,4261982574880204
60,68,Stefania ,Wojciechowska,68032961287,130-34-9024, stefania.wojciechowska@gmail.com ,Glinice ,75,4837184181338495
61,61,Ewa ,Pietrzak ,83092878128,866-84-0885, ewa.pietrzak@o2.pl ,Glogowa ,3,4546478847133080
62,96,Bernadetta ,Czarnecka ,86100728345,454-42-0579, bernadetta.czarnecka@wp.pl ,Glowackiego ,74,5649550604299529
63,40,Alina ,Wojciechowska,90070666363,100-24-4146, alina.wojciechowska@gmail.com ,Golebia ,11,4972713621698608
64,37,Bernadetta ,Kwiatkowska ,64021491269,452-13-6125, bernadetta.kwiatkowska@gmail.com ,Goslara ,44,5181328918259578
65,31,Halina ,Borkowska ,66100214147,502-94-5992, halina.borkowska@gmail.com ,Gorna ,37,5619457911410821
66,54,Paula ,Krajewska ,87022332744,549-56-3078, paula.krajewska@gmail.com ,Graniczna ,3,4322904490675903
67,34,Regina ,Gorska ,89082292189,332-54-6268, regina.górska@gmail.com ,Grodka ,28,5411801891726773
68,47,Florencja ,Brzezinska ,82060895949,337-63-2122, florencja.brzeziñska@gmail.com ,Grunwaldzka ,44,4072693886071221
69,27,Karolina ,WoŸniak ,55020135324,188-04-4442, karolina.woŸniak@gmail.com ,Grzegorza ,96,5332624607116956
70,85,Hortensja ,Chmielewska ,85021971966,155-41-0036, hortensja.chmielewska@gmail.com ,Henryka Sienkiewicza ,36,5558839429836501
71,2,Florentyna ,Szewczyk ,79081185481,192-96-6178, florentyna.szewczyk@wp.pl ,Henryka Stankiewicza ,21,5882183412291607
72,38,Monika ,Kaminska ,58022416268,192-90-7442, monika.kamiñska@gmail.com ,Hetmanska ,75,5123670100467530
73,4,Justyna ,WoŸniak ,71030128486,732-27-3287, justyna.woŸniak@gmail.com ,Hugona Kollataja ,27,5486261909984562
74,76,Boguslawa ,Baranowska ,94010182867,788-07-5692, bogus³awa.baranowska@gmail.com ,Jabloni ,82,4873376070007752
