1,1,Anastazja,Zalewska,Konsultant,3500,347-19-1237,'21-03-2005'
2,1,Oksana,B¹k,Kierowca,2500,947-02-2684,'26-08-2005'
3,1,Pawe³,Szymczak,Kierownik,6500,169-82-3429,'21-12-2005'
4,1,Olaf,Brzeziñski,Konsultant,3500,720-43-9663,'16-02-2006'
5,1,Kacper,Tomaszewski,Ksiegowy/Ksiegowa,4000,638-44-1609,'19-10-2006'
6,2,Jakub,Brzeziñski,Konsultant,3500,907-88-0132,'21-03-2007'
7,2,Alek,Mazur,Kierowca,2500,993-04-7003,'13-04-2007'
8,2,Bogumi³,Tomaszewski ,Kierownik,6500,407-35-1412,'29-10-2007'
9,2,Jaros³aw,Kowalczyk,Konsultant,3500,315-19-4117,'12-12-2007'
10,2,Adrian,Makowski,Ksiegowy/Ksiegowa,4000,273-57-7278,'26-12-2008'
11,3,Korneliusz,Szczepañski,Konsultant,3500,137-96-2014,'08-02-2010'
12,3,Marcel,Sawicki,Kierowca,2500,674-19-4605,'25-08-2010'
13,3,Jêdrzej,Ko³odziej ,Kierownik,6500,481-74-8576,'10-01-2012'
14,3,Damian,Malinowski,Konsultant,3500,387-17-3385,'27-06-2012'
15,3,Olgierd,Brzeziñski,Ksiegowy/Ksiegowa,4000,115-62-4084,'28-03-2013'
16,4,Krzysztof,Nowak,Konsultant,3500,294-47-8325,'16-09-2013'
17,4,Heronim,Borkowski,Kierowca,2500,798-40-5844,'19-06-2014'
18,4,Damian,Stêpieñ ,Kierownik,6500,164-72-7126,'02-12-2014'
19,4,Lila,Stêpieñ,Konsultant,3500,996-33-3265,'06-06-2016'
20,4,Adriana,Walczak,Ksiegowy/Ksiegowa,4000,638-57-8153,'20-10-2016'
21,5,Matylda,W³odarczyk,Konsultant,3500,941-42-4246,'22-11-2016'
22,5,Marcelina,Czerwiñska,Kierowca,2500,168-70-2029,'20-03-2017'
23,5,Bogna,WoŸniak,Kierownik,6500,169-91-6822,'28-07-2017'
24,5,Olga,Laskowska,Konsultant,3500,726-96-8382,'10-08-2018'
25,5,Krystyna,Szymañska,Ksiegowy/Ksiegowa,4000,836-60-6919,'12-03-2021'
26,6,Bogus³awa,Chmielewska,Konsultant,3500,705-60-6389,'20-01-2005'
27,6,Asia,Szymczak,Kierowca,2500,077-66-4403,'02-02-2006'
28,6,Lucyna,B¹k,Kierownik,6500,111-88-2483,'02-10-2006'
29,6,Diana,KaŸmierczak,Konsultant,3500,705-27-5904,'08-01-2007'
30,6,Balbina,D¹browska,Ksiegowy/Ksiegowa,4000,646-41-3964,'12-06-2007'
31,7,Agata,Nowak,Konsultant,3500,353-53-2780,'09-10-2007'
32,7,Marcela,WoŸniak,Kierowca,2500,371-80-8409,'01-05-2008'
33,7,Eugeniusz,Walczak,Kierownik,6500,963-50-4901,'19-01-2010'
34,7,Ksawery,Zieliñski,Konsultant,3500,248-60-2870,'01-09-2010'
35,7,Dominik,Mróz,Ksiegowy/Ksiegowa,4000,846-02-7977,'05-07-2011'
36,8,Klaudiusz,Borkowski,Konsultant,3500,675-93-6426,'08-11-2011'
37,8,Piotr,B³aszczyk,Kierowca,2500,680-45-0748,'06-07-2012'
38,8,Mateusz,Pietrzak,Kierownik,6500,372-07-5762,'02-10-2012'
39,8,Diego,Kowalczyk,Konsultant,3500,582-17-5727,'12-04-2013'
40,8,Cyprian,Ko³odziej,Ksiegowy/Ksiegowa,4000,832-88-7961,'12-06-2013'
41,9,Rafa³,Kucharski,Konsultant,3500,455-75-2239,'03-07-2013'
42,9,Alojzy,Chmielewski,Kierowca,2500,852-06-0632,'28-10-2013'
43,9,Bart³omiej,B¹k,Kierownik,6500,717-90-6793,'05-11-2013'
44,9,Denis,Krawczyk,Konsultant,3500,874-34-0673,'16-12-2014'
45,9,Alan,Rutkowski,Ksiegowy/Ksiegowa,4000,110-32-6480,'19-12-2014'
46,10,Mieszko,Zawadzki,Konsultant,3500,278-06-8648,'17-06-2015'
47,10,Alfred,Nowak ,Kierowca,2500,367-80-2869,'15-08-2018'
48,10,Anastazy,D¹browski,Kierownik,6500,213-24-6984,'20-10-2020'
49,10,Józef,Makowski ,Konsultant,3500,666-46-3238,'11-01-2021'
50,10,Krystian,Szewczyk,Ksiegowy/Ksiegowa,4000,328-10-8394,'01-02-2021'
51,11,Igor,Walczak,Konsultant,3500,264-69-9298,'22-06-2005'
52,11,Kordian,Kowalski,Kierowca,2500,843-58-0914,'20-07-2005'
53,11,Anastazy,Lewandowski,Kierownik,6500,389-19-0930,'05-09-2005'
54,11,Faustyna,Wysocka,Konsultant,3500,621-18-1000,'23-05-2007'
55,11,Wanda,Mróz,Ksiegowy/Ksiegowa,4000,783-14-2133,'05-07-2007'
56,12,Julia,Lewandowska,Konsultant,3500,064-08-3086,'18-12-2007'
57,12,Roksana,Borkowska,Kierowca,2500,232-44-0551,'03-12-2008'
58,12,Kinga,Mróz,Kierownik,6500,484-70-9913,'07-10-2009'
59,12,Marta,Mróz,Konsultant,3500,830-24-8646,'24-02-2010'
60,12,Oliwia,KaŸmierczak,Ksiegowy/Ksiegowa,4000,596-83-1996,'05-03-2010'
61,13,Paula,Szulc,Konsultant,3500,509-07-9971,'22-11-2012'
62,13,Kinga,KaŸmierczak,Kierowca,2500,096-12-1986,'28-05-2014'
63,13,Dominika,Walczak,Kierownik,6500,115-89-9999,'03-10-2014'
64,13,Paula,Tomaszewska,Konsultant,3500,945-84-3840,'14-10-2014'
65,13,Ewa,Malinowska,Ksiegowy/Ksiegowa,4000,709-41-1510,'05-01-2015'
66,14,Ida,Zakrzewska,Konsultant,3500,813-30-3392,'22-07-2015'
67,14,Adrianna,B³aszczyk,Kierowca,2500,517-00-2396,'23-05-2016'
68,14,Karolina,Urbañska,Kierownik,6500,844-88-6948,'06-12-2016'
69,14,Iga,Nowak,Konsultant,3500,661-90-1231,'04-05-2018'
70,14,Alice,Szewczyk,Ksiegowy/Ksiegowa,4000,667-37-7507,'06-08-2018'
71,15,Angelika,Piotrowska,Konsultant,3500,467-94-6530,'12-09-2018'
72,15,Stefania,Jankowska,Kierowca,2500,379-56-9793,'25-09-2018'
73,15,Blanka,Krajewska,Kierownik,6500,495-13-2992,'27-03-2019'
74,15,Felicja,Laskowska,Konsultant,3500,273-96-7621,'13-11-2020'
75,15,Wanda,Krajewska,Ksiegowy/Ksiegowa,4000,543-59-0570,'19-02-2021'
76,16,Krystyna,Szulc,Konsultant,3500,549-06-2262,'19-07-2005'
77,16,Halina,Górecka,Kierowca,2500,342-64-9401,'15-08-2005'
78,16,Julia,Witkowska,Kierownik,6500,770-12-0187,'31-05-2006'
79,16,Bogumi³a,G³owacka,Konsultant,3500,727-73-3950,'11-04-2007'
80,16,Alina,Zalewska,Ksiegowy/Ksiegowa,4000,147-31-1352,'25-07-2008'
81,17,Balbina,Baran,Konsultant,3500,091-11-4133,'23-09-2008'
82,17,Agata,Jankowska,Kierowca,2500,510-28-4689,'17-11-2009'
83,17,Daria,Borkowska,Kierownik,6500,010-75-2887,'23-02-2010'
84,17,Alana,Baran,Konsultant,3500,280-49-1804,'16-09-2010'
85,17,Blanka,Szymczak,Ksiegowy/Ksiegowa,4000,803-92-1389,'26-11-2010'
86,18,Julianna,Soko³owska,Konsultant,3500,504-67-9867,'22-08-2013'
87,18,Lidia,Malinowska,Kierowca,2500,704-84-4035,'13-09-2013'
88,18,Czes³awa,D¹browska,Kierownik,6500,645-93-7176,'18-09-2013'
89,18,Adrianna,Szymczak,Konsultant,3500,111-58-8565,'10-12-2013'
90,18,Adrianna,Kucharska,Ksiegowy/Ksiegowa,4000,224-70-8202,'19-03-2014'
91,19,Eliza,Stêpieñ,Konsultant,3500,581-18-5803,'05-01-2015'
92,19,Olga,Adamska,Kierowca,2500,147-20-5152,'12-03-2015'
93,19,Alisa,Maciejewska,Kierownik,6500,948-32-9240,'24-06-2015'
94,19,Milena,Wojciechowska,Konsultant,3500,264-37-3963,'10-06-2016'
95,19,Alana,W³odarczyk,Ksiegowy/Ksiegowa,4000,146-97-6482,'15-08-2016'
96,20,Florencja,Cieœlak,Konsultant,3500,521-46-3498,'19-08-2016'
